clause_id,contract_id,clause_type,clause_text_summary,standard_compliant,deviation_type,risk_score,review_status,reviewer_name,review_date,recommendation
CL-0154,CON-0033,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,4,Flagged,Angela Perez,,Acceptable with noted deviation
CL-0155,CON-0034,Dispute Resolution,Litigation only — no alternative resolution,false,Minor,4,Flagged,Patricia Nguyen,,Recommend minor language update at next renewal
CL-0156,CON-0034,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,5,Pending,Angela Perez,,Acceptable with noted deviation
CL-0157,CON-0034,Auto-Renewal,Auto-renews annually with 60-day opt-out notice,true,None,3,Pending,Thomas Grant,,Clause meets standard requirements
CL-0158,CON-0034,SLA/Performance,Quarterly performance reviews with scorecards,true,None,2,Reviewed,Steven Marsh,2025-02-17,No action needed
CL-0159,CON-0035,Data Privacy,Missing data breach notification timeline,false,Major,7,Flagged,Angela Perez,,Requires renegotiation before next renewal
CL-0160,CON-0035,IP Ownership,Vendor retains all IP including custom deliverables,false,Critical,9,Flagged,Robert Ashford,,Contract amendment needed within 30 days
CL-0161,CON-0035,Liability Cap,No liability cap defined,false,Critical,9,Flagged,Thomas Grant,,Immediate renegotiation required
CL-0162,CON-0036,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,3,Reviewed,Linda Kowalski,2024-08-25,Approved as-is
CL-0163,CON-0036,Change Control,Vendor may implement changes with 5-day notice,false,Minor,4,Pending,Linda Kowalski,,Recommend minor language update at next renewal
CL-0164,CON-0036,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,1,Reviewed,Robert Ashford,2024-04-15,Clause meets standard requirements
CL-0165,CON-0036,Indemnification,Mutual indemnification for third-party IP claims,true,None,2,Pending,Patricia Nguyen,,No action needed
CL-0166,CON-0037,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,5,Flagged,Steven Marsh,,Acceptable with noted deviation
CL-0167,CON-0037,Force Majeure,Standard force majeure covering natural disasters and pandemics,true,None,3,Reviewed,Linda Kowalski,2024-02-01,Approved as-is
CL-0168,CON-0037,Audit Rights,No audit rights granted to Contoso,false,Critical,10,Flagged,Patricia Nguyen,,Escalate to VP Legal immediately
CL-0169,CON-0037,Liability Cap,No liability cap defined,false,Critical,10,Flagged,Thomas Grant,,Immediate renegotiation required
CL-0170,CON-0037,Termination,Either party may terminate with 90-day notice,true,None,3,Reviewed,Steven Marsh,2024-03-14,No action needed
CL-0171,CON-0037,Change Control,Vendor may implement changes with 5-day notice,false,Minor,5,Reviewed,Linda Kowalski,2024-04-14,Acceptable with noted deviation
CL-0172,CON-0038,Audit Rights,Annual audit rights with 30-day advance notice,true,None,1,Pending,Angela Perez,,Clause meets standard requirements
CL-0173,CON-0038,Insurance Requirements,Insurance coverage below required $1M threshold,false,Major,6,Flagged,Linda Kowalski,,Escalate to legal for amendment
CL-0174,CON-0038,Confidentiality,No confidentiality clause present — gap identified,false,Critical,10,Flagged,Robert Ashford,,Contract amendment needed within 30 days
CL-0175,CON-0039,Data Privacy,No data privacy provisions — high risk,false,Critical,9,Flagged,Linda Kowalski,,Contract amendment needed within 30 days
CL-0176,CON-0039,Payment Terms,Payment upon delivery with no grace period,false,Major,8,Flagged,Linda Kowalski,,Escalate to legal for amendment
CL-0177,CON-0039,Force Majeure,Standard force majeure covering natural disasters and pandemics,true,None,3,Pending,Angela Perez,,Approved as-is
CL-0178,CON-0039,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,3,Pending,Angela Perez,,Recommend minor language update at next renewal
CL-0179,CON-0040,Force Majeure,Force majeure limited to acts of war only,false,Minor,3,Reviewed,Steven Marsh,2024-10-06,Acceptable with noted deviation
CL-0180,CON-0040,Auto-Renewal,Auto-renews annually with 60-day opt-out notice,true,None,3,Reviewed,Patricia Nguyen,2024-07-30,Clause meets standard requirements
CL-0181,CON-0040,Change Control,No formal change control process defined,false,Major,6,Flagged,Angela Perez,,Escalate to legal for amendment
CL-0182,CON-0040,Confidentiality,Confidentiality obligations survive 5 years,true,None,3,Pending,Angela Perez,,No action needed
CL-0183,CON-0040,IP Ownership,IP transfers upon final milestone completion,true,None,3,Pending,Steven Marsh,,Approved as-is
CL-0184,CON-0040,Insurance Requirements,Vendor maintains $5M general liability coverage,true,None,1,Reviewed,Angela Perez,2024-09-26,No action needed
CL-0185,CON-0041,IP Ownership,Vendor retains all IP including custom deliverables,false,Critical,9,Pending,Patricia Nguyen,,Contract amendment needed within 30 days
CL-0186,CON-0041,Dispute Resolution,Litigation only — no alternative resolution,false,Minor,4,Flagged,Thomas Grant,,Recommend minor language update at next renewal
CL-0187,CON-0041,Data Privacy,Data processing limited to specified purposes only,true,None,1,Pending,Linda Kowalski,,Approved as-is
CL-0188,CON-0041,Indemnification,One-sided indemnification favoring vendor,false,Major,6,Pending,Angela Perez,,Escalate to legal for amendment
CL-0189,CON-0041,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,3,Reviewed,Patricia Nguyen,2024-04-16,Approved as-is
CL-0190,CON-0042,Dispute Resolution,Dispute resolution in vendor home jurisdiction,false,Minor,5,Pending,Steven Marsh,,Flag for review at renewal
CL-0191,CON-0042,Change Control,All changes require written approval from both parties,true,None,3,Pending,Linda Kowalski,,Clause meets standard requirements
CL-0192,CON-0042,Governing Law,Governed by laws of the State of New York,true,None,1,Reviewed,Steven Marsh,2024-05-19,No action needed
CL-0193,CON-0042,Data Privacy,Standard data protection clauses included,true,None,3,Pending,Angela Perez,,Approved as-is
CL-0194,CON-0043,Indemnification,Mutual indemnification for third-party IP claims,true,None,2,Reviewed,Linda Kowalski,2024-07-03,Clause meets standard requirements
CL-0195,CON-0043,Dispute Resolution,"Mediation first, then arbitration if unresolved",true,None,2,Reviewed,Patricia Nguyen,2024-04-05,No action needed
CL-0196,CON-0043,SLA/Performance,Quarterly performance reviews with scorecards,true,None,3,Reviewed,Linda Kowalski,2024-10-10,Clause meets standard requirements
CL-0197,CON-0043,IP Ownership,Joint IP ownership for co-developed materials,true,Minor,3,Pending,Patricia Nguyen,,Flag for review at renewal
CL-0198,CON-0043,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,5,Pending,Robert Ashford,,Recommend minor language update at next renewal
CL-0199,CON-0043,Audit Rights,Unlimited audit access during contract term,true,Minor,3,Pending,Linda Kowalski,,Acceptable with noted deviation
CL-0200,CON-0044,Insurance Requirements,Insurance coverage below required $1M threshold,false,Major,6,Flagged,Robert Ashford,,Escalate to legal for amendment
CL-0201,CON-0044,Dispute Resolution,"Mediation first, then arbitration if unresolved",true,None,2,Reviewed,Linda Kowalski,2024-08-08,Approved as-is
CL-0202,CON-0044,Indemnification,One-sided indemnification favoring vendor,false,Major,6,Flagged,Robert Ashford,,Escalate to legal for amendment
CL-0203,CON-0044,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,5,Reviewed,Linda Kowalski,2024-07-11,Acceptable with noted deviation
CL-0204,CON-0044,IP Ownership,Vendor retains all IP including custom deliverables,false,Critical,10,Pending,Robert Ashford,,Contract amendment needed within 30 days
CL-0205,CON-0045,Governing Law,Governed by laws of England and Wales,true,None,3,Reviewed,Robert Ashford,2024-11-20,No action needed
CL-0206,CON-0045,Insurance Requirements,Cyber liability insurance required and confirmed,true,None,1,Reviewed,Thomas Grant,2024-11-02,No action needed
CL-0207,CON-0045,Audit Rights,Unlimited audit access during contract term,true,Minor,3,Flagged,Angela Perez,,Flag for review at renewal
CL-0208,CON-0046,Indemnification,Vendor indemnifies for all claims including negligence,true,None,1,Pending,Steven Marsh,,Approved as-is
CL-0209,CON-0046,Dispute Resolution,"Mediation first, then arbitration if unresolved",true,None,2,Reviewed,Robert Ashford,2024-09-18,Approved as-is
CL-0210,CON-0046,Payment Terms,Net 60 terms with early payment discount of 2%,true,Minor,5,Pending,Thomas Grant,,Acceptable with noted deviation
CL-0211,CON-0047,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,1,Reviewed,Linda Kowalski,2024-08-21,Clause meets standard requirements
CL-0212,CON-0047,Liability Cap,Liability capped at total contract value,true,None,2,Pending,Thomas Grant,,No action needed
CL-0213,CON-0047,Insurance Requirements,Vendor maintains $5M general liability coverage,true,None,3,Pending,Patricia Nguyen,,Approved as-is
CL-0214,CON-0047,Indemnification,One-sided indemnification favoring vendor,false,Major,6,Pending,Thomas Grant,,Escalate to legal for amendment
CL-0215,CON-0048,Dispute Resolution,"Mediation first, then arbitration if unresolved",true,None,2,Pending,Thomas Grant,,No action needed
CL-0216,CON-0048,Data Privacy,GDPR and CCPA compliant data processing addendum,true,None,1,Reviewed,Angela Perez,2024-04-05,No action needed
CL-0217,CON-0048,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,1,Pending,Linda Kowalski,,Approved as-is
CL-0218,CON-0048,Termination,30-day termination for convenience by either party,true,None,3,Reviewed,Angela Perez,2024-03-29,Approved as-is
CL-0219,CON-0049,Audit Rights,Annual audit rights with 30-day advance notice,true,None,1,Reviewed,Steven Marsh,2024-03-13,Approved as-is
CL-0220,CON-0049,SLA/Performance,Quarterly performance reviews with scorecards,true,None,1,Reviewed,Thomas Grant,2024-11-21,Approved as-is
CL-0221,CON-0049,Change Control,All changes require written approval from both parties,true,None,3,Reviewed,Robert Ashford,2024-06-10,No action needed
CL-0222,CON-0049,Indemnification,Vendor indemnifies for all claims including negligence,true,None,1,Reviewed,Angela Perez,2024-09-15,Approved as-is
CL-0223,CON-0049,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,2,Reviewed,Patricia Nguyen,2024-10-16,Clause meets standard requirements
CL-0224,CON-0050,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,2,Pending,Patricia Nguyen,,Approved as-is
CL-0225,CON-0050,Liability Cap,Liability capped at total contract value,true,None,3,Reviewed,Thomas Grant,2024-02-22,Approved as-is
CL-0226,CON-0050,Audit Rights,No audit rights granted to Contoso,false,Critical,9,Flagged,Patricia Nguyen,,Escalate to VP Legal immediately
CL-0227,CON-0050,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,3,Flagged,Steven Marsh,,Acceptable with noted deviation
CL-0228,CON-0051,Payment Terms,Net 45 payment terms compliant with policy for contracts valued at 50K-499K,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0229,CON-0051,Liability Limitation,Liability capped at greater of 2x annual fees or 1M USD meets policy minimum,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0230,CON-0051,Auto-Renewal,Auto-renewal for 1-year terms with 90-day notice capped at 3 additional years,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0231,CON-0051,Insurance - General Liability,CGL 2M per occurrence and 5M aggregate meets Technology/SaaS category requirement,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0232,CON-0051,Insurance - Professional Liability,E&O 5M per occurrence and 10M aggregate meets requirement,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0233,CON-0051,Insurance - Cyber Liability,Cyber liability 10M meets requirement for data handling services,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0234,CON-0051,Cybersecurity,SOC 2 Type II and ISO 27001:2022 certified with AES-256 at rest and TLS 1.2+ in transit plus annual pen testing,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0235,CON-0051,Confidentiality,5-year survival period with 30-day return/destruction compliant with AC-PROC-POL S3.4,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0236,CON-0051,Termination,Termination for convenience with 90-day notice plus termination for cause with 30-day cure,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0237,CON-0051,Warranty,24-month warranty period meets policy standard,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0238,CON-0051,Indemnification,Mutual indemnification with IP and data breach and regulatory carve-outs,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0239,CON-0051,Force Majeure,Comprehensive force majeure with mitigation obligation and 90-day termination right,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0240,CON-0051,IP Ownership,Contoso owns all custom deliverables as work made for hire with perpetual license to pre-existing IP,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0241,CON-0051,Governing Law,New York State law with AAA arbitration compliant with AC-PROC-POL S3.8,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0242,CON-0051,Dispute Resolution,AAA arbitration in designated forum per policy,true,None,1,Approved,Sarah Mitchell,2024-03-15,No action required
CL-0243,CON-0052,Payment Terms,Net 120 days exceeds policy maximum of Net 60 by 60 days and requires VP Finance approval,false,Major,9,Flagged,Kwame Osei-Mensah,2024-01-25,Reduce to Net 45 per AC-PROC-POL S5.1
CL-0244,CON-0052,Auto-Renewal,Auto-renewal for 5-year terms prohibited per AC-PROC-POL S4 and requires EVP/CFO approval,false,Major,10,Flagged,Kwame Osei-Mensah,2024-01-25,Replace with 1-year auto-renewal capped at 3 years
CL-0245,CON-0052,Liability Limitation,Liability capped at 3 months fees (300K) which is only 0.25x annual value vs policy minimum 2x (2.4M),false,Major,10,Flagged,Kwame Osei-Mensah,2024-01-25,Increase to greater of 2x annual value or 1M per AC-PROC-POL S3.2
CL-0246,CON-0052,Insurance - General Liability,No insurance requirements specified in contract,false,Major,10,Flagged,Kwame Osei-Mensah,2024-01-25,Add CGL 5M/10M per AC-PROC-POL S6.1 for contracts over 1M
CL-0247,CON-0052,Cybersecurity,No cybersecurity requirements specified including no SOC 2 or ISO 27001 or encryption standards,false,Major,10,Flagged,Kwame Osei-Mensah,2024-01-25,Add SOC 2 Type II and ISO 27001 and encryption and pen testing requirements
CL-0248,CON-0052,Confidentiality,Basic confidentiality with 2-year survival below 5-year policy standard,false,Moderate,6,Flagged,Kwame Osei-Mensah,2024-01-25,Extend survival to 5 years per AC-PROC-POL S3.4
CL-0249,CON-0052,Termination,No termination for convenience and only termination for cause with 60-day cure,false,Major,9,Flagged,Kwame Osei-Mensah,2024-01-25,Add termination for convenience with 90-day notice
CL-0250,CON-0052,IP Ownership,Vendor retains ownership of all deliverables including custom work and Contoso gets limited license only,false,Major,10,Flagged,Kwame Osei-Mensah,2024-01-25,Contoso must own custom deliverables as work made for hire
CL-0251,CON-0052,Governing Law,Delaware law which is a foreign jurisdiction requiring General Counsel approval per AC-PROC-POL S3.8,false,Moderate,7,Flagged,Kwame Osei-Mensah,2024-01-25,Change to New York State law
CL-0252,CON-0052,Subcontracting,Unrestricted subcontracting without Contoso approval,false,Major,9,Flagged,Kwame Osei-Mensah,2024-01-25,Require prior written consent for subcontractors
CL-0253,CON-0052,Price Escalation,Vendor may increase fees unilaterally with 30-day notice with no cap or justification required,false,Major,9,Flagged,Kwame Osei-Mensah,2024-01-25,Add CPI-based cap and mutual agreement requirement
CL-0254,CON-0052,Force Majeure,No force majeure clause present,false,Major,8,Flagged,Kwame Osei-Mensah,2024-01-25,Add comprehensive force majeure per AC-PROC-POL S3.6
CL-0255,CON-0052,Data Residency,Data may be stored or processed outside domestic jurisdiction without restriction,false,Major,9,Flagged,Kwame Osei-Mensah,2024-01-25,Require data residency in approved jurisdictions
CL-0256,CON-0052,Indemnification,Vendor indemnification limited to gross negligence only with no coverage for IP or data breach,false,Major,8,Flagged,Kwame Osei-Mensah,2024-01-25,Add IP infringement and data breach indemnification carve-outs
CL-0257,CON-0052,Amendment,Vendor may amend terms unilaterally with 30-day notice,false,Major,10,Flagged,Kwame Osei-Mensah,2024-01-25,Require mutual written agreement for any amendments
CL-0258,CON-0053,Payment Terms,Net 45 payment terms compliant with policy,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0259,CON-0053,Liability Limitation,Liability capped at greater of 2x annual fees or 1M USD compliant,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0260,CON-0053,Auto-Renewal,No auto-renewal and mutual written agreement for 1-year extensions,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0261,CON-0053,Insurance - General Liability,CGL 2M/5M meets requirement,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0262,CON-0053,Insurance - Professional Liability,E&O 5M/10M meets requirement,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0263,CON-0053,Cybersecurity,SOC 2 Type II certified but missing ISO 27001 which is partial compliance,false,Moderate,5,Flagged,Patricia Nguyen,2024-04-20,Require ISO 27001 certification in addition to SOC 2
CL-0264,CON-0053,Confidentiality,No confidentiality clause present which is critical omission given access to sensitive data,false,Major,10,Flagged,Patricia Nguyen,2024-04-20,Add comprehensive confidentiality clause with 5-year survival per AC-PROC-POL S3.4
CL-0265,CON-0053,Termination,No termination for convenience and only termination for cause creates operational lock-in,false,Major,9,Flagged,Patricia Nguyen,2024-04-20,Add termination for convenience with 90-day notice
CL-0266,CON-0053,Warranty,24-month warranty meets policy standard,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0267,CON-0053,IP Ownership,IP ownership determined on case-by-case basis which is vague and non-compliant,false,Moderate,7,Flagged,Patricia Nguyen,2024-04-20,Specify Contoso ownership of custom models and algorithms as work made for hire
CL-0268,CON-0053,Governing Law,New York State law compliant,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0269,CON-0053,Dispute Resolution,AAA arbitration compliant,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0270,CON-0053,Data Breach Notification,24-hour notification meets AC-PROC-POL S3.7 requirement,true,None,1,Approved,Patricia Nguyen,2024-04-20,No action required
CL-0271,CON-0053,Pre-existing IP License,License to pre-existing IP limited to agreement term only but should be perpetual,false,Moderate,6,Flagged,Patricia Nguyen,2024-04-20,Negotiate perpetual irrevocable royalty-free license per policy
CL-0272,CON-0054,Contract Term,Contract expired June 30 2023 with no renewal executed and operating without valid agreement,false,Major,10,Flagged,Kwame Osei-Mensah,2023-05-20,Execute new agreement immediately under current policy standards
CL-0273,CON-0054,Payment Terms,Net 30 days but current policy requires Net 45 for contracts valued 50K-499K,false,Minor,3,Flagged,Kwame Osei-Mensah,2023-05-20,Update to Net 45 upon renewal per AC-PROC-POL S5.1
CL-0274,CON-0054,Liability Limitation,Liability capped at 1x annual value (95K) but policy requires greater of 2x (190K) or 1M,false,Major,10,Flagged,Kwame Osei-Mensah,2023-05-20,Increase to 1M minimum per AC-PROC-POL S3.2
CL-0275,CON-0054,Insurance - General Liability,CGL 1M/2M below current minimum of 2M/5M for general services and may need 10M/25M for on-site enterprise,false,Major,9,Flagged,Kwame Osei-Mensah,2023-05-20,Update to 2M/5M minimum or 10M/25M for enterprise on-site per AC-PROC-POL S6.1
CL-0276,CON-0054,Insurance - Auto Liability,Auto liability 1M below current 2M minimum for general services,false,Moderate,6,Flagged,Kwame Osei-Mensah,2023-05-20,Increase to 2M per AC-PROC-POL S6.1
CL-0277,CON-0054,Insurance - Additional Insured,Contoso not named as additional insured on CGL policies,false,Moderate,7,Flagged,Kwame Osei-Mensah,2023-05-20,Require Contoso as additional insured per AC-PROC-POL S6.2
CL-0278,CON-0054,Insurance - Professional Liability,No professional liability coverage required but should be included for regulatory compliance support,false,Moderate,6,Flagged,Kwame Osei-Mensah,2023-05-20,Add professional liability requirement
CL-0279,CON-0054,Certifications,Maintenance org certificate MO-2019-4567 may be expired and industry safety certification from 2020 likely expired,false,Moderate,7,Flagged,Kwame Osei-Mensah,2023-05-20,Verify all certifications are current before renewal
CL-0280,CON-0054,Confidentiality,3-year survival period below 5-year policy standard,false,Moderate,5,Flagged,Kwame Osei-Mensah,2023-05-20,Extend to 5-year survival per AC-PROC-POL S3.4
CL-0281,CON-0054,Confidentiality - Return Period,60-day return/destruction period but policy requires 30 days,false,Minor,3,Flagged,Kwame Osei-Mensah,2023-05-20,Shorten to 30 days per AC-PROC-POL S3.4
CL-0282,CON-0054,Warranty,12-month warranty below 24-month policy standard,false,Minor,4,Flagged,Kwame Osei-Mensah,2023-05-20,Extend to 24 months per AC-PROC-POL S5
CL-0283,CON-0054,Governing Law,Different state law rather than New York State per policy,false,Moderate,5,Flagged,Kwame Osei-Mensah,2023-05-20,Update to New York State law per AC-PROC-POL S3.8
CL-0284,CON-0054,Dispute Resolution,State courts rather than AAA arbitration per policy,false,Moderate,5,Flagged,Kwame Osei-Mensah,2023-05-20,Update to AAA arbitration per AC-PROC-POL S3.8
CL-0285,CON-0054,Data Breach Notification,No specific breach notification timeline but policy requires 24 hours,false,Moderate,7,Flagged,Kwame Osei-Mensah,2023-05-20,Add 24-hour notification requirement per AC-PROC-POL S3.7
CL-0286,CON-0054,Force Majeure,Basic clause missing enterprise-specific events and 90-day termination right,false,Minor,4,Flagged,Kwame Osei-Mensah,2023-05-20,Update to include regulatory directives and termination right per AC-PROC-POL S3.6
CL-0287,CON-0054,Indemnification,Basic negligence-only indemnification missing IP and data breach and regulatory carve-outs,false,Minor,4,Flagged,Kwame Osei-Mensah,2023-05-20,Strengthen with standard carve-outs per AC-PROC-POL S3.1
CL-0288,CON-0054,Regulatory Compliance,Hazardous materials reference outdated and should reference current HPR/GHS standards,false,Minor,3,Flagged,Kwame Osei-Mensah,2023-05-20,Update regulatory references to current standards
